season,week,category,player_id,player_name,team,position,role_family,role_family_label,headline,current_raw,current_denominator,current_share,baseline_raw,baseline_denominator,baseline_share,share_change,all_play_raw,all_play_denominator,all_play_share,outside_normal_opportunities,all_play_normal_gap,production_yards,yards_per_opportunity,useful_contexts,context_summary,baseline_games,category_reason,secondary_categories,suspected_partial_game,player_href,team_href,game_href,explanation
2025,5,Box Score Overstated the Role,00-0034960,Jakobi Meyers,LV,WR,wr_target_share,WR target share,5 of 6 opportunities occurred outside normal-game context.,1,21,0.0476190476190476,31,110,0.2818181818181818,-0.23419913419913418,6,36,0.1666666666666666,5,0.119047619047619,32.0,32.0,3,"early downs, passing downs, red zone",4,All-play usage materially exceeded normal-game usage because opportunities occurred outside normal context.,Box Score Overstated the Role | Opportunity Lost,False,/players?player=00-0034960&season=2025&family=wr_target_share&week=5,/teams?team=LV&season=2025&family=wr_target_share&week=5,/games?season=2025&week=5&game=2025_05_LV_IND,All-play share was 11.9 points above normal-game share.
2025,5,Opportunity Lost,00-0033906,Alvin Kamara,NO,RB,rb_carry_share,RB carry share,Carry share fell from 59.2% to 27.6%.,8,29,0.2758620689655172,61,103,0.5922330097087378,-0.31637094074322064,8,29,0.2758620689655172,0,0.0,27.0,3.375,2,"early downs, red zone",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0033906&season=2025&family=rb_carry_share&week=5,/teams?team=NO&season=2025&family=rb_carry_share&week=5,/games?season=2025&week=5&game=2025_05_NYG_NO,Selected-week share was 31.6 points below the prior 4-game baseline.
2025,5,Opportunity Lost,00-0034844,Saquon Barkley,PHI,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 87.7% to 64.3%.,9,14,0.6428571428571429,93,106,0.8773584905660378,-0.23450134770889486,9,14,0.6428571428571429,0,0.0,88.0,9.777777777777779,1,early downs,4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0034844&season=2025&family=rb_opportunity_share&week=5,/teams?team=PHI&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_DEN_PHI,Selected-week share was 23.5 points below the prior 4-game baseline.
2025,5,Opportunity Lost,00-0039139,Jahmyr Gibbs,DET,RB,rb_opportunity_share,RB opportunity share,RB opportunity share fell from 63.6% to 40.6%.,13,32,0.40625,70,110,0.6363636363636364,-0.23011363636363635,14,33,0.4242424242424242,1,0.0179924242424242,87.0,6.6923076923076925,3,"early downs, red zone, passing downs",4,Selected-week normal-game share was materially below a meaningful prior role.,Opportunity Lost,False,/players?player=00-0039139&season=2025&family=rb_opportunity_share&week=5,/teams?team=DET&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_DET_CIN,Selected-week share was 23.0 points below the prior 4-game baseline. David Montgomery had the largest same-family increase for DET.
2025,5,Opportunity Gained,00-0036139,Rico Dowdle,CAR,RB,rb_opportunity_share,RB opportunity share,Handled 27 of 32 team RB opportunities.,27,32,0.84375,23,74,0.3108108108108108,0.5329391891891893,27,32,0.84375,0,0.0,234.0,8.666666666666666,4,"early downs, red zone, inside five, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0036139&season=2025&family=rb_opportunity_share&week=5,/teams?team=CAR&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_MIA_CAR,Selected-week share was 53.3 points above the prior 4-game baseline.
2025,5,Opportunity Gained,00-0037256,Rachaad White,TB,RB,rb_opportunity_share,RB opportunity share,Handled 18 of 24 team RB opportunities.,18,24,0.75,31,122,0.2540983606557377,0.4959016393442623,18,24,0.75,0,0.0,71.0,3.9444444444444446,4,"early downs, red zone, inside five, passing downs",4,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,"Opportunity Gained | Strong Opportunity, Weak Production",False,/players?player=00-0037256&season=2025&family=rb_opportunity_share&week=5,/teams?team=TB&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_TB_SEA,Selected-week share was 49.6 points above the prior 4-game baseline.
2025,5,Opportunity Gained,00-0039410,Ryan Flournoy,DAL,WR,wr_target_share,WR target share,Handled 8 of 24 team targets.,8,24,0.3333333333333333,2,104,0.019230769230769232,0.3141025641025641,9,28,0.3214285714285714,1,-0.011904761904761918,114.0,14.25,2,"passing downs, early downs",3,Selected-week normal-game share materially exceeded the prior qualifying-game baseline.,Opportunity Gained,False,/players?player=00-0039410&season=2025&family=wr_target_share&week=5,/teams?team=DAL&season=2025&family=wr_target_share&week=5,/games?season=2025&week=5&game=2025_05_DAL_NYJ,Selected-week share was 31.4 points above the prior 3-game baseline.
2025,5,"Strong Opportunity, Weak Production",00-0035250,Devin Singletary,NYG,RB,rb_opportunity_share,RB opportunity share,Produced 24 yards while handling 8 of 30 team RB opportunities.,8,30,0.2666666666666666,15,113,0.13274336283185842,0.1339233038348082,8,30,0.2666666666666666,0,0.0,24.0,3.0,2,"early downs, passing downs",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0035250&season=2025&family=rb_opportunity_share&week=5,/teams?team=NYG&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_NYG_NO,"The player averaged 3.0 yards per opportunity across early downs, passing downs."
2025,5,"Strong Opportunity, Weak Production",00-0039040,De'Von Achane,MIA,RB,rb_carry_share,RB carry share,Produced 16 yards while handling 10 of 14 team carries.,10,14,0.7142857142857143,49,76,0.6447368421052632,0.06954887218045114,10,14,0.7142857142857143,0,0.0,16.0,1.6,3,"early downs, red zone, inside five",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0039040&season=2025&family=rb_carry_share&week=5,/teams?team=MIA&season=2025&family=rb_carry_share&week=5,/games?season=2025&week=5&game=2025_05_MIA_CAR,"The player averaged 1.6 yards per opportunity across early downs, red zone, inside five."
2025,5,"Strong Opportunity, Weak Production",00-0036875,Rhamondre Stevenson,NE,RB,rb_opportunity_share,RB opportunity share,Produced 27 yards while handling 9 of 25 team RB opportunities.,9,25,0.36,40,96,0.4166666666666667,-0.0566666666666667,9,25,0.36,0,0.0,27.0,3.0,3,"early downs, red zone, inside five",4,The player owned a meaningful share across multiple contexts while producing few yards per opportunity.,"Strong Opportunity, Weak Production",False,/players?player=00-0036875&season=2025&family=rb_opportunity_share&week=5,/teams?team=NE&season=2025&family=rb_opportunity_share&week=5,/games?season=2025&week=5&game=2025_05_NE_BUF,"The player averaged 3.0 yards per opportunity across early downs, red zone, inside five."
