calibration_bucket,rows,raw_projected_total,actual_total,calibration_multiplier
0-1,520,368.12252485328224,324.0,0.8801417412018795
1-2,1425,2178.7542944781035,1699.0,0.7798033969713766
2-3,1415,3506.6019000254755,2984.0,0.8509662873274326
3-4,836,2879.879872928933,2580.0,0.8958707008067163
4-6,645,3093.50282468928,2850.0,0.9212857273813099
6+,216,1535.051565571438,1294.0,0.8429684246589435
