season,week,team,team_plays,team_pass_attempts,team_rush_attempts,team_tds,projected_team_plays,projected_team_pass_attempts,projected_team_rush_attempts,projected_team_tds,projected_pass_rate,projected_rush_rate,projected_team_tds_placeholder
2023,9,ATL,67.0,39.0,28.0,2.0,71.25,38.75,32.5,1.75,0.543859649122807,0.45614035087719296,1.75
2023,10,ATL,66.0,25.0,41.0,3.0,69.25,38.75,30.5,1.75,0.5595667870036101,0.4404332129963899,1.75
2023,12,ATL,62.0,21.0,41.0,2.0,65.75,32.5,33.25,2.0,0.49429657794676807,0.5057034220532319,2.0
2023,13,ATL,64.0,30.0,34.0,1.0,65.25,31.25,34.0,2.25,0.4789272030651341,0.5210727969348659,2.25
2023,14,ATL,70.0,44.0,26.0,3.0,64.75,28.75,36.0,2.0,0.444015444015444,0.555984555984556,2.0
2023,15,ATL,51.0,20.0,31.0,1.0,65.5,30.0,35.5,2.25,0.4580152671755725,0.5419847328244275,2.25
2023,16,ATL,64.0,34.0,30.0,2.0,61.75,28.75,33.0,1.75,0.46558704453441296,0.5344129554655871,1.75
2023,17,ATL,59.0,35.0,24.0,2.0,62.25,32.0,30.25,1.75,0.5140562248995983,0.4859437751004016,1.75
2023,18,ATL,60.0,35.0,25.0,2.0,61.0,33.25,27.75,2.0,0.5450819672131147,0.45491803278688525,2.0
2024,1,ATL,50.0,28.0,22.0,1.0,58.5,31.0,27.5,1.75,0.5299145299145299,0.4700854700854701,1.75
2024,2,ATL,59.0,31.0,28.0,2.0,58.25,33.0,25.25,1.75,0.5665236051502146,0.4334763948497854,1.75
2024,3,ATL,56.0,31.0,25.0,2.0,57.0,32.25,24.75,1.75,0.5657894736842105,0.4342105263157895,1.75
2024,4,ATL,51.0,36.0,15.0,1.0,56.25,31.25,25.0,1.75,0.5555555555555556,0.4444444444444444,1.75
2024,5,ATL,81.0,63.0,18.0,4.0,54.0,31.5,22.5,1.5,0.5833333333333334,0.4166666666666667,1.5
2024,6,ATL,69.0,30.0,39.0,4.0,61.75,40.25,21.5,2.25,0.6518218623481782,0.3481781376518219,2.25
2024,7,ATL,71.0,39.0,32.0,3.0,64.25,40.0,24.25,2.75,0.622568093385214,0.377431906614786,2.75
2024,8,ATL,60.0,31.0,29.0,4.0,68.0,42.0,26.0,3.0,0.6176470588235294,0.38235294117647056,3.0
2024,9,ATL,57.0,27.0,30.0,4.0,70.25,40.75,29.5,3.75,0.5800711743772242,0.4199288256227758,3.75
2024,10,ATL,73.0,41.0,32.0,2.0,64.25,31.75,32.5,3.75,0.49416342412451364,0.5058365758754864,3.75
2024,11,ATL,56.0,35.0,21.0,0.0,65.25,34.5,30.75,3.25,0.5287356321839081,0.47126436781609193,3.25
2024,13,ATL,77.0,40.0,37.0,2.0,61.5,33.5,28.0,2.5,0.5447154471544715,0.45528455284552843,2.5
2024,14,ATL,71.0,38.0,33.0,2.0,65.75,35.75,30.0,2.0,0.5437262357414449,0.45627376425855515,2.0
2024,15,ATL,57.0,20.0,37.0,1.0,69.25,38.5,30.75,1.5,0.555956678700361,0.44404332129963897,1.5
2024,16,ATL,65.0,27.0,38.0,2.0,65.25,33.25,32.0,1.25,0.5095785440613027,0.4904214559386973,1.25
2024,17,ATL,60.0,37.0,23.0,3.0,67.5,31.25,36.25,1.75,0.46296296296296297,0.5370370370370371,1.75
2024,18,ATL,77.0,39.0,38.0,5.0,63.25,30.5,32.75,2.0,0.48221343873517786,0.5177865612648221,2.0
2023,1,BAL,59.0,26.0,33.0,3.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
2023,2,BAL,70.0,33.0,37.0,4.0,59.0,26.0,33.0,3.0,0.4406779661016949,0.559322033898305,3.0
2023,3,BAL,72.0,35.0,37.0,2.0,64.5,29.5,35.0,3.5,0.4573643410852713,0.5426356589147286,3.5
2023,4,BAL,55.0,22.0,33.0,4.0,67.0,31.333333333333332,35.666666666666664,3.0,0.46766169154228854,0.5323383084577115,3.0
2023,5,BAL,67.0,42.0,25.0,1.0,64.0,29.0,35.0,3.25,0.453125,0.546875,3.25
2023,6,BAL,70.0,31.0,39.0,1.0,66.0,33.0,33.0,2.75,0.5,0.5,2.75
2023,7,BAL,55.0,28.0,27.0,5.0,66.0,32.5,33.5,2.0,0.49242424242424243,0.5075757575757576,2.0
2023,8,BAL,60.0,31.0,29.0,4.0,61.75,30.75,31.0,2.75,0.4979757085020243,0.5020242914979757,2.75
2023,9,BAL,75.0,34.0,41.0,4.0,63.0,33.0,30.0,2.75,0.5238095238095238,0.47619047619047616,2.75
2023,10,BAL,50.0,26.0,24.0,4.0,65.0,31.0,34.0,3.5,0.47692307692307695,0.5230769230769231,3.5
2023,11,BAL,60.0,29.0,31.0,4.0,60.0,29.75,30.25,4.25,0.49583333333333335,0.5041666666666667,4.25
2023,12,BAL,69.0,34.0,35.0,2.0,61.25,30.0,31.25,4.0,0.4897959183673469,0.5102040816326531,4.0
2023,14,BAL,72.0,46.0,26.0,3.0,63.5,30.75,32.75,3.5,0.484251968503937,0.515748031496063,3.5
2023,15,BAL,69.0,27.0,42.0,2.0,62.75,33.75,29.0,3.25,0.5378486055776892,0.46215139442231074,3.25
2023,16,BAL,63.0,37.0,26.0,3.0,67.5,34.0,33.5,2.75,0.5037037037037037,0.4962962962962963,2.75
2023,17,BAL,55.0,23.0,32.0,8.0,68.25,36.0,32.25,2.5,0.5274725274725275,0.4725274725274725,2.5
2023,18,BAL,57.0,32.0,25.0,1.0,64.75,33.25,31.5,4.0,0.5135135135135135,0.4864864864864865,4.0
2023,20,BAL,67.0,25.0,42.0,5.0,61.0,29.75,31.25,3.5,0.48770491803278687,0.5122950819672131,3.5
2023,21,BAL,57.0,41.0,16.0,1.0,60.5,29.25,31.25,4.25,0.4834710743801653,0.5165289256198347,4.25
2024,1,BAL,74.0,42.0,32.0,2.0,59.0,30.25,28.75,3.75,0.5127118644067796,0.4872881355932203,3.75
2024,2,BAL,63.0,36.0,27.0,2.0,63.75,35.0,28.75,2.25,0.5490196078431373,0.45098039215686275,2.25
2024,3,BAL,60.0,15.0,45.0,4.0,65.25,36.0,29.25,2.5,0.5517241379310345,0.4482758620689655,2.5
2024,4,BAL,54.0,20.0,34.0,5.0,63.5,33.5,30.0,2.25,0.5275590551181102,0.47244094488188976,2.25
2024,5,BAL,77.0,43.0,34.0,5.0,62.75,28.25,34.5,3.25,0.450199203187251,0.549800796812749,3.25
2024,6,BAL,65.0,28.0,37.0,3.0,63.5,28.5,35.0,4.0,0.44881889763779526,0.5511811023622047,4.0
2024,7,BAL,54.0,24.0,30.0,5.0,64.0,26.5,37.5,4.25,0.4140625,0.5859375,4.25
2024,8,BAL,62.0,41.0,21.0,3.0,62.5,28.75,33.75,4.5,0.46,0.54,4.5
2024,9,BAL,54.0,20.0,34.0,5.0,64.5,34.0,30.5,4.0,0.5271317829457365,0.4728682170542636,4.0
2024,10,BAL,59.0,33.0,26.0,5.0,58.75,28.25,30.5,4.0,0.4808510638297872,0.5191489361702127,4.0
2024,11,BAL,55.0,36.0,19.0,2.0,57.25,29.5,27.75,4.5,0.5152838427947598,0.4847161572052402,4.5
2024,12,BAL,61.0,24.0,37.0,4.0,57.5,32.5,25.0,3.75,0.5652173913043478,0.43478260869565216,3.75
2024,13,BAL,71.0,39.0,32.0,2.0,57.25,28.25,29.0,4.0,0.49344978165938863,0.5065502183406113,4.0
2024,15,BAL,59.0,28.0,31.0,5.0,61.5,33.0,28.5,3.25,0.5365853658536586,0.4634146341463415,3.25
2024,16,BAL,62.0,24.0,38.0,3.0,61.5,31.75,29.75,3.25,0.516260162601626,0.483739837398374,3.25
2024,17,BAL,61.0,18.0,43.0,4.0,63.25,28.75,34.5,3.5,0.45454545454545453,0.5454545454545454,3.5
2024,18,BAL,67.0,32.0,35.0,4.0,63.25,27.25,36.0,3.5,0.4308300395256917,0.5691699604743083,3.5
2024,19,BAL,72.0,22.0,50.0,4.0,62.25,25.5,36.75,4.0,0.40963855421686746,0.5903614457831325,4.0
2024,20,BAL,59.0,29.0,30.0,3.0,65.5,24.0,41.5,3.75,0.366412213740458,0.6335877862595419,3.75
2023,1,BUF,68.0,46.0,22.0,2.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
2023,2,BUF,74.0,39.0,35.0,5.0,68.0,46.0,22.0,2.0,0.6764705882352942,0.3235294117647059,2.0
2023,3,BUF,65.0,32.0,33.0,3.0,71.0,42.5,28.5,3.5,0.5985915492957746,0.4014084507042254,3.5
2023,4,BUF,56.0,27.0,29.0,6.0,69.0,39.0,30.0,3.3333333333333335,0.5652173913043478,0.43478260869565216,3.3333333333333335
2023,5,BUF,55.0,41.0,14.0,3.0,65.75,36.0,29.75,4.0,0.5475285171102662,0.4524714828897338,4.0
2023,6,BUF,59.0,30.0,29.0,2.0,62.5,34.75,27.75,4.25,0.556,0.444,4.25
