calibration_bucket,rows,raw_projected_total,actual_total,calibration_multiplier
0-15,1362,12226.491142174695,11290.0,0.9234047502848701
15-25,1165,23105.888227450007,19460.0,0.8422095618415284
25-40,1073,34313.4006116537,27984.0,0.8155414357414615
40-60,806,39350.660591966946,36450.0,0.9262868641000886
60+,496,37976.178942011225,32296.0,0.8504278444999763
