projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_pass_attempts,projected_qb_attempt_share,projected_pass_attempts_raw,calibration_bucket,calibration_multiplier,projected_pass_attempts_calibrated,projected_pass_attempts,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,DAL,ATL,00-0033077,D.Prescott,QB,33.0,0.48705235016941,16.07272755559053,0-20,0.8381734519382428,13.471733537332229,13.471733537332229,True,18,1,18,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,WAS,00-0027973,A.Dalton,QB,32.75,0.4878034605940642,15.975563334455602,0-20,0.8381734519382428,13.390293066698677,13.390293066698677,True,19,2,19,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,HOU,00-0036355,J.Herbert,QB,37.0,0.4313447912357894,15.959757275724208,0-20,0.8381734519382428,13.377044847890245,13.377044847890245,True,20,1,20,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,KC,00-0035282,E.Stick,QB,37.0,0.4312654327810901,15.956821012900333,0-20,0.8381734519382428,13.37458375034336,13.37458375034336,True,21,2,21,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NO,NYG,00-0031280,D.Carr,QB,38.25,0.4165239662490805,15.93204170902733,0-20,0.8381734519382428,13.353814395679498,13.353814395679498,True,22,2,22,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIN,GB,00-0038598,J.Hall,QB,43.75,0.3618932031660085,15.832827638512871,0-20,0.8381734519382428,13.27065579571555,13.27065579571555,True,23,2,23,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SF,ARI,00-0033949,J.Dobbs,QB,41.0,0.3833048308740588,15.715498065836412,0-20,0.8381734519382428,13.172313262770883,13.172313262770883,True,24,2,24,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,PHI,00-0036264,J.Love,QB,32.0,0.4837031153158186,15.478499690106196,0-20,0.8381734519382428,12.973667516081331,12.973667516081331,True,25,1,25,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,KC,00-0039163,C.Stroud,QB,34.5,0.4413106871532604,15.225218706787484,0-20,0.8381734519382428,12.761374119982774,12.761374119982774,True,26,1,26,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,SEA,00-0031345,J.Garoppolo,QB,38.75,0.3749776323149138,14.530383252202911,0-20,0.8381734519382428,12.178981488484546,12.178981488484546,True,27,1,27,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
