calibration_bucket,rows,raw_projected_total,actual_total,calibration_multiplier
0-15,694,5426.135882216249,5544,1.0217215566182265
15-25,378,7559.689686975109,8001,1.0583767762035579
25-40,407,12613.265017969026,11561,0.9165747317233123
40-60,378,18820.901993246065,19288,1.024818045751556
60+,230,16814.06257188794,18047,1.0733277530543663
