projection_mode,season,week,team,player_id,player_name,position,projected_receptions_calibrated,projected_yards_per_reception,projected_receiving_yards_raw,calibration_bucket,calibration_multiplier,projected_receiving_yards_calibrated,projected_receiving_yards,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,CIN,00-0036900,J.Chase,WR,5.728088891735389,13.041136402908071,74.70078856510374,60+,0.8504278444999763,63.527630601869646,63.527630601869646,63.477663427847546,True,1,1,1,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,00-0039075,P.Nacua,WR,5.619195416724309,12.811093700128534,71.98803900298793,60+,0.8504278444999763,61.22063283909125,61.22063283909125,64.30061800668832,True,2,1,2,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,00-0039893,B.Thomas,WR,5.039996093730721,13.991117364766804,70.51517686535276,60+,0.8504278444999763,59.968069866136545,59.968069866136545,58.899070515390086,True,3,1,3,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIN,00-0036322,J.Jefferson,WR,4.999657069039701,14.070532202802331,70.34783579289143,60+,0.8504278444999763,59.825758358586945,59.825758358586945,58.85477604093781,True,4,1,4,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CLE,00-0036407,J.Jeudy,WR,5.033981670819037,13.317678667448796,67.04095030979492,60+,0.8504278444999763,57.01349086518891,57.01349086518891,60.93872654893794,True,5,1,5,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,00-0039915,L.McConkey,WR,4.62855544908392,14.027242159512287,64.92586813303029,60+,0.8504278444999763,55.21476608866266,55.21476608866266,50.67941299764348,True,6,1,6,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,00-0036410,T.Higgins,WR,5.078040326876734,12.753927261188457,64.76495695836752,60+,0.8504278444999763,55.07792274523823,55.07792274523823,56.97064231526714,True,7,2,7,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,BUF,00-0038679,T.Shavers,WR,2.660879629629627,22.0,58.5393518518518,40-60,0.9262868641000886,54.22423265330352,54.22423265330352,15.09584226546183,True,8,1,8,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_YARDAGE_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DET,00-0036963,A.St. Brown,WR,4.816902964644965,11.95081675564786,57.56592466020889,40-60,0.9262868641000886,53.322559832526856,53.322559832526856,49.30056885729144,True,9,1,9,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,00-0031381,D.Adams,WR,4.619275569576809,12.388475844475634,57.22578381267872,40-60,0.9262868641000886,53.007491833515786,53.007491833515786,57.38631328553664,True,10,1,10,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
