projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_team_rush_attempts,projected_player_rush_attempt_share,projected_carries_raw,calibration_bucket,calibration_multiplier,projected_carries_calibrated,projected_carries,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,ARI,NE,00-0039921,T.Benson,RB,27.75,0.1115419789351461,3.095289915450304,3-7,0.9028108177188384,2.7944612196445635,2.7944612196445635,True,117,4,108,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,IND,JAX,00-0037120,T.Goodson,RB,37.25,0.0759726220112517,2.829980169919126,0-3,0.986118670675152,2.7906962831976894,2.7906962831976894,True,118,6,109,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,NE,00-0038389,I.Abanikanda,RB,21.75,0.1407762694037362,3.061883859531262,3-7,0.9028108177188384,2.7643018709835316,2.7643018709835316,True,119,2,110,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CHI,SF,00-0036297,D.Evans,RB,23.75,0.128487166737584,3.05157021001762,3-7,0.9028108177188384,2.7549905966324553,2.7549905966324553,True,120,4,111,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TEN,HOU,00-0036370,J.Kelley,RB,27.75,0.1002822924897572,2.7828336165907626,0-3,0.986118670675152,2.7442041867026084,2.7442041867026084,True,121,3,112,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TB,WAS,00-0034855,B.Mayfield,QB,29.75,0.0934711984990129,2.780768155345634,0-3,0.986118670675152,2.742167396805231,2.742167396805231,True,122,5,10,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,MIA,00-0039794,B.Allen,RB,21.75,0.1261179160788378,2.743064674714722,0-3,0.986118670675152,2.70498729060565,2.70498729060565,True,123,3,113,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LV,IND,00-0029239,B.Bolden,RB,24.75,0.1104644598028414,2.7339953801203247,0-3,0.986118670675152,2.6960438898762615,2.6960438898762615,True,124,4,114,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,JAX,CAR,00-0030533,M.Barkley,QB,29.25,0.0928103571601051,2.714702946933074,0-3,0.986118670675152,2.677019261307561,2.677019261307561,True,125,4,11,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE|LOW_CARRY_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,KC,LAC,00-0036269,L.Perine,RB,19.75,0.1369506144136704,2.7047746346699904,0-3,0.986118670675152,2.667228767216641,2.667228767216641,True,126,3,115,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
