calibration_bucket,rows,raw_projected_total,actual_total,calibration_multiplier
0-3,539,913.6831365165461,901,0.9861186706751521
3-7,747,3579.9305198473357,3232,0.9028108177188385
7-12,434,4058.506637758759,4079,1.0050494834850283
12-18,296,4210.404208453795,4493,1.0671184469602228
18+,71,1429.7248121772545,1382,0.9666195817749174
