projection_mode,history_start_season,history_end_season,max_training_season,max_training_week,target_season,target_week,leakage_check,leakage_status,season,week,team,player_id,player_name,position,projected_team_pass_attempts,projected_target_share,projected_catch_rate,projected_receptions_raw,calibration_bucket,calibration_multiplier,projected_receptions_calibrated,projected_receptions,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,current_team_verified,team_verify_flag,team_source,team_context_note,route_proxy_status,confidence_score,confidence_bucket,quality_flags
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CIN,00-0036900,J.Chase,WR,44.5,0.1589877255249926,0.8096291601482667,5.728088891735389,4-6,0.92128572738131,5.2772065411272395,5.2772065411272395,63.477663427847546,True,1,1,1,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,LA,00-0039075,P.Nacua,WR,38.75,0.185709575512207,0.7808509293351522,5.619195416724309,4-6,0.92128572738131,5.176884536794578,5.176884536794578,64.30061800668832,True,2,1,2,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CIN,00-0036410,T.Higgins,WR,44.5,0.1442722197574682,0.7909579956858178,5.078040326876734,4-6,0.92128572738131,4.678326076218257,4.678326076218257,56.97064231526714,True,3,2,3,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,JAX,00-0039893,B.Thomas,WR,36.75,0.1788357803736648,0.7668641619885317,5.039996093730721,4-6,0.92128572738131,4.643276467211669,4.643276467211669,58.899070515390086,True,4,1,4,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CLE,00-0036407,J.Jeudy,WR,40.5,0.167509473248994,0.7420227722832582,5.033981670819037,4-6,0.92128572738131,4.637735465224698,4.637735465224698,60.93872654893794,True,5,1,5,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,MIN,00-0036322,J.Jefferson,WR,43.75,0.1506185433094932,0.758723815492922,4.999657069039701,4-6,0.92128572738131,4.606112699507349,4.606112699507349,58.85477604093781,True,6,1,6,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,DET,00-0036963,A.St. Brown,WR,37.5,0.1475952432983683,0.8702905517368106,4.816902964644965,4-6,0.92128572738131,4.437743951508125,4.437743951508125,49.30056885729144,True,7,1,7,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,CHI,00-0034827,D.Moore,WR,35.75,0.1616266933807256,0.8201486406677472,4.738945385167739,4-6,0.92128572738131,4.365922746194562,4.365922746194562,51.87789669852605,True,8,1,8,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,LAC,00-0039915,L.McConkey,WR,37.0,0.1530877976190476,0.8171526089217155,4.62855544908392,4-6,0.92128572738131,4.264222073634005,4.264222073634005,50.67941299764348,True,9,1,9,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,NYJ,00-0031381,D.Adams,WR,38.25,0.1670218894009216,0.7230511809032066,4.619275569576809,4-6,0.92128572738131,4.255672653092286,4.255672653092286,57.38631328553664,True,10,1,10,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
