calibration_bucket,rows,raw_projected_total,actual_total,calibration_multiplier
0-20,112,1691.773936195344,1418,0.8381734519382428
20-28,86,2082.6253466480507,2284,1.0966926930357677
28-34,156,4891.965400261562,4797,0.9805874750756651
34-40,196,7169.07519452913,6509,0.9079274276502431
40+,74,3211.25,2615,0.814324639937719
