projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_pass_attempts_calibrated,projected_yards_per_attempt,projected_passing_yards_raw,calibration_bucket,calibration_multiplier,projected_passing_yards_calibrated,projected_passing_yards,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,NO,NYG,00-0031280,D.Carr,QB,15.93204170902733,7.381271659376004,117.59872794283987,0-150,0.9596007901016658,112.84783224889998,112.84783224889998,True,18,1,18,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,PHI,00-0036264,J.Love,QB,15.478499690106196,7.525985991035744,116.49097182999033,0-150,0.9596007901016658,111.78482860776961,111.78482860776961,True,19,1,19,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,MIN,00-0038391,S.Clifford,QB,10.50808014786257,11.0,115.58888162648827,0-150,0.9596007901016658,110.91918213574607,110.91918213574607,True,20,2,20,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_QB_ATTEMPT_SAMPLE|LOW_PASSING_YARDS_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,DAL,ATL,00-0033077,D.Prescott,QB,16.07272755559053,7.098128204717259,114.08628078907341,0-150,0.9596007901016658,109.47728518495533,109.47728518495533,True,21,1,21,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,HOU,KC,00-0039163,C.Stroud,QB,15.225218706787484,7.29713945222592,111.10054409406705,0-150,0.9596007901016658,106.6121698933917,106.6121698933917,True,22,1,22,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SF,ARI,00-0033949,J.Dobbs,QB,15.715498065836412,7.019966761428339,110.32227406146296,0-150,0.9596007901016658,105.86534135519237,105.86534135519237,True,23,2,23,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LA,SEA,00-0031345,J.Garoppolo,QB,14.530383252202911,7.578225729144052,110.11452421616792,0-150,0.9596007901016658,105.66598443950375,105.66598443950375,True,24,1,24,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,KC,00-0035282,E.Stick,QB,15.956821012900333,6.895826392953728,110.03546748839675,0-150,0.9596007901016658,105.59012154107168,105.59012154107168,True,25,2,25,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NO,TB,00-0039376,S.Rattler,QB,17.6774398090597,6.164538767838348,108.97326301907744,0-150,0.9596007901016658,104.57082929306334,104.57082929306334,True,26,2,26,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CAR,ATL,00-0039150,B.Young,QB,16.7744366655444,6.362991343088218,106.73559528804061,0-150,0.9596007901016658,102.42356157037541,102.42356157037541,True,27,1,27,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
