page_a,page_b,filters,entity,value_a,value_b,expected_value,difference,severity,status,likely_cause
Teams,Reports,2025/BAL/rb_opportunity_share/Last 4/Normal game,00-0033376,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0039064,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0030564,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0036550,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0039792,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0036630,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/BAL/wr_target_share/Last 4/Normal game,00-0040075,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/BAL/te_target_share/Last 4/Normal game,00-0034753,0.18840579710144928,0.18840579710144928,0.18840579710144928,0.0,No issue,PASS,
Teams,Reports,2025/BAL/te_target_share/Last 4/Normal game,00-0037838,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.0,No issue,PASS,
Teams,Reports,2025/BAL/te_target_share/Last 4/Normal game,00-0038046,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_carry_share/Last 4/Normal game,00-0037248,0.5309734513274337,0.5309734513274337,0.5309734513274337,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_carry_share/Last 4/Normal game,00-0035537,0.1415929203539823,0.1415929203539823,0.1415929203539823,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_carry_share/Last 4/Normal game,00-0039875,0.1415929203539823,0.1415929203539823,0.1415929203539823,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_carry_share/Last 4/Normal game,00-0036187,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_opportunity_share/Last 4/Normal game,00-0037248,0.5847457627118644,0.5847457627118644,0.5847457627118644,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_opportunity_share/Last 4/Normal game,00-0035537,0.2033898305084746,0.2033898305084746,0.2033898305084746,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_opportunity_share/Last 4/Normal game,00-0039875,0.1864406779661017,0.1864406779661017,0.1864406779661017,0.0,No issue,PASS,
Teams,Reports,2025/BUF/rb_opportunity_share/Last 4/Normal game,00-0036187,0.025423728813559324,0.025423728813559324,0.025423728813559324,0.0,No issue,PASS,
Teams,Reports,2025/BUF/wr_target_share/Last 4/Normal game,00-0037261,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.0,No issue,PASS,
Teams,Reports,2025/BUF/wr_target_share/Last 4/Normal game,00-0031236,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.0,No issue,PASS,
Teams,Reports,2025/BUF/wr_target_share/Last 4/Normal game,00-0036196,0.07920792079207921,0.07920792079207921,0.07920792079207921,0.0,No issue,PASS,
Teams,Reports,2025/BUF/wr_target_share/Last 4/Normal game,00-0036988,0.07920792079207921,0.07920792079207921,0.07920792079207921,0.0,No issue,PASS,
Teams,Reports,2025/BUF/wr_target_share/Last 4/Normal game,00-0038679,0.04950495049504951,0.04950495049504951,0.04950495049504951,0.0,No issue,PASS,
Teams,Reports,2025/BUF/wr_target_share/Last 4/Normal game,00-0039901,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0,No issue,PASS,
Teams,Reports,2025/BUF/te_target_share/Last 4/Normal game,00-0035689,0.12871287128712872,0.12871287128712872,0.12871287128712872,0.0,No issue,PASS,
Teams,Reports,2025/BUF/te_target_share/Last 4/Normal game,00-0038933,0.07920792079207921,0.07920792079207921,0.07920792079207921,0.0,No issue,PASS,
Teams,Reports,2025/BUF/te_target_share/Last 4/Normal game,00-0040194,0.039603960396039604,0.039603960396039604,0.039603960396039604,0.0,No issue,PASS,
Teams,Reports,2025/BUF/te_target_share/Last 4/Normal game,00-0040363,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,No issue,PASS,
Teams,Reports,2025/CAR/rb_carry_share/Last 4/Normal game,00-0036139,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.0,No issue,PASS,
Teams,Reports,2025/CAR/rb_carry_share/Last 4/Normal game,00-0036555,0.27710843373493976,0.27710843373493976,0.27710843373493976,0.0,No issue,PASS,
Teams,Reports,2025/CAR/rb_carry_share/Last 4/Normal game,00-0040644,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/CAR/rb_opportunity_share/Last 4/Normal game,00-0036139,0.6511627906976745,0.6511627906976745,0.6511627906976745,0.0,No issue,PASS,
Teams,Reports,2025/CAR/rb_opportunity_share/Last 4/Normal game,00-0036555,0.3488372093023256,0.3488372093023256,0.3488372093023256,0.0,No issue,PASS,
Teams,Reports,2025/CAR/rb_opportunity_share/Last 4/Normal game,00-0040644,0.0,0.0,0.0,0.0,No issue,PASS,
Teams,Reports,2025/CAR/wr_target_share/Last 4/Normal game,00-0040124,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,No issue,PASS,
Teams,Reports,2025/CAR/wr_target_share/Last 4/Normal game,00-0039491,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.0,No issue,PASS,
Teams,Reports,2025/CAR/wr_target_share/Last 4/Normal game,00-0039342,0.10784313725490197,0.10784313725490197,0.10784313725490197,0.0,No issue,PASS,
Teams,Reports,2025/CAR/wr_target_share/Last 4/Normal game,00-0040218,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0,No issue,PASS,
Teams,Reports,2025/CAR/wr_target_share/Last 4/Normal game,00-0038840,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,No issue,PASS,
Teams,Reports,2025/CAR/te_target_share/Last 4/Normal game,00-0037005,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.0,No issue,PASS,
Teams,Reports,2025/CAR/te_target_share/Last 4/Normal game,00-0040187,0.06862745098039216,0.06862745098039216,0.06862745098039216,0.0,No issue,PASS,
Teams,Reports,2025/CAR/te_target_share/Last 4/Normal game,00-0039356,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0,No issue,PASS,
Teams,Reports,2025/CAR/te_target_share/Last 4/Normal game,00-0037282,0.0,0.0,0.0,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0038555,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0036906,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0038555,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0037248,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0039373,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0037248,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0039875,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0039875,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0036906,0.5,0.5,0.5,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0036755,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0040078,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0039373,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0040078,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0040586,0.6,0.6,0.6,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0040586,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0036223,0.5,0.5,0.5,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0039603,0.40625,0.40625,0.40625,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0039603,0.3823529411764705,0.3823529411764705,0.3823529411764705,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0038797,0.59375,0.59375,0.59375,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0039391,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0038685,0.3823529411764705,0.3823529411764705,0.3823529411764705,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0039391,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0039405,0.1470588235294117,0.1470588235294117,0.1470588235294117,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_carry_share/Normal game,00-0038797,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,No issue,PASS,
Home,Players,2025/Week 18/rb_opportunity_share/Normal game,00-0039874,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.0,No issue,PASS,
