profile_name,market_family,row_count,score_actual_correlation,spearman_score_actual_correlation,elite_or_strong_count,elite_or_strong_average_actual,watch_or_review_average_actual,tier_lift,top_quartile_average_actual,bottom_quartile_average_actual,top_vs_bottom_lift,monotonicity_status,low_sample_warning,overfit_risk_flag,dominant_component,dominant_component_weight
current_v1,receiving,9055,0.5301448216481903,0.5418630488463972,2124,57.62900188323917,16.63178755449861,40.997214328740554,56.381456953642385,12.124116607773852,44.257340345868535,PASS,NO,LOW,projection_score,0.35
current_v1,rushing,4739,0.6006500076756119,0.6406614135331062,1155,60.21038961038961,13.46998087954111,46.7404087308485,60.02194092827004,7.933389544688027,52.088551383582015,PASS,NO,LOW,projection_score,0.35
current_v1,passing,1397,0.5450784347977498,0.4913291293346487,328,254.5548780487805,150.36016949152543,104.19470855725507,252.86285714285714,110.08,142.78285714285715,PASS,NO,LOW,projection_score,0.35
projection_heavy,receiving,9055,0.5272072998320373,0.5391831488703334,2209,56.87822544137619,16.58695652173913,40.29126891963706,56.372185430463574,12.367328918322295,44.00485651214128,PASS,NO,LOW,projection_score,0.5
projection_heavy,rushing,4739,0.6006450237157727,0.6406950963384289,1183,60.16060862214708,13.336660268714011,46.82394835343307,60.13755274261603,7.857383966244726,52.280168776371305,PASS,NO,LOW,projection_score,0.5
projection_heavy,passing,1397,0.5335595410439855,0.48292752009332424,350,253.17714285714285,152.91412742382272,100.26301543332013,253.17714285714285,109.99714285714286,143.18,PASS,NO,LOW,projection_score,0.5
usage_heavy,receiving,9055,0.5278267118419292,0.5422999191089994,2237,56.525257040679485,16.557792992347967,39.96746404833152,56.42913907284768,12.228155339805825,44.20098373304186,PASS,NO,LOW,usage_foundation_score,0.35
usage_heavy,rushing,4739,0.5974000031449679,0.6356921794829535,1208,59.71854304635762,13.412151702786378,46.306391343571235,60.2126582278481,8.046413502109704,52.166244725738395,PASS,NO,LOW,usage_foundation_score,0.35
usage_heavy,passing,1397,0.5353749028790987,0.481665885452444,337,250.69436201780417,149.0,101.69436201780417,249.66285714285715,109.58285714285714,140.08,PASS,NO,LOW,usage_foundation_score,0.35
recent_form_heavy,receiving,9055,0.5270268683882098,0.5431539730312648,2377,55.735380732015145,16.30070074196208,39.43467999005307,56.39894086496028,12.291961130742049,44.10697973421823,PASS,NO,LOW,recent_form_score,0.3
recent_form_heavy,rushing,4739,0.5998764295182224,0.6404187408531385,1243,59.256637168141594,13.275019394879752,45.981617773261846,59.99915682967959,8.145025295109612,51.85413153456998,PASS,NO,LOW,recent_form_score,0.3
recent_form_heavy,passing,1397,0.5520274094667217,0.4974513425235638,407,251.12530712530713,146.00746268656715,105.11784443873998,251.50285714285715,109.33428571428571,142.16857142857145,PASS,NO,LOW,recent_form_score,0.3
matchup_heavy,receiving,9055,0.5242592466453248,0.529218975744449,1974,57.543566362715296,17.189820130118637,40.35374623259666,55.56884377758164,12.390286975717439,43.178556801864204,PASS,NO,LOW,projection_score,0.3
matchup_heavy,rushing,4739,0.5938093082891085,0.6359567337017934,1115,60.30224215246637,13.591235360785795,46.711006791680575,59.19409282700422,7.7158516020236085,51.47824122498061,PASS,NO,LOW,projection_score,0.3
matchup_heavy,passing,1397,0.5443802482108353,0.4858273622144736,249,257.48192771084337,152.51409395973155,104.96783375111181,250.20857142857142,111.34571428571428,138.86285714285714,PASS,NO,LOW,projection_score,0.3
game_script_heavy,receiving,9055,0.5309014641233469,0.5400660544140243,1545,62.18511326860841,17.42656047416188,44.75855279444653,56.39531802120141,12.238957597173146,44.156360424028264,PASS,NO,LOW,projection_score,0.3
game_script_heavy,rushing,4739,0.6005553280521508,0.6386416815447858,849,65.2379269729093,14.042037762736017,51.19588921017329,59.880269814502526,8.049789029535866,51.83048078496666,PASS,NO,LOW,projection_score,0.3
game_script_heavy,passing,1397,0.5429316325661048,0.4978048258879795,213,259.4600938967136,153.79818887451486,105.66190502219874,253.74285714285713,109.31142857142858,144.43142857142857,PASS,NO,LOW,projection_score,0.3
data_quality_strict,receiving,9055,0.5249265839677495,0.5379858476899931,2691,53.25975473801561,15.045293522267206,38.2144612157484,56.359540636042404,12.179770318021202,44.1797703180212,PASS,NO,LOW,projection_score,0.3
data_quality_strict,rushing,4739,0.5958007898823261,0.6364596291737602,1422,55.940225035161745,11.504364694471388,44.435860340690354,59.97637130801688,7.999156829679595,51.97721447833729,PASS,NO,LOW,projection_score,0.3
data_quality_strict,passing,1397,0.5303483832701931,0.476707534547295,444,246.1846846846847,137.8416030534351,108.34308163124959,253.49714285714285,110.21428571428571,143.28285714285715,PASS,NO,LOW,projection_score,0.3
balanced_conservative,receiving,9055,0.5312754254236002,0.5433533112053945,2254,56.51907719609583,16.127835488658047,40.391241707437786,56.42093639575972,12.162030905077263,44.25890549068245,PASS,NO,LOW,projection_score,0.28
balanced_conservative,rushing,4739,0.602161938738103,0.6413143833609142,1218,59.664203612479476,12.94433157253149,46.71987203994799,60.175379426644184,8.068181818181818,52.107197608462364,PASS,NO,LOW,projection_score,0.28
balanced_conservative,passing,1397,0.5468878460139175,0.4950006824725918,348,253.01149425287358,146.63013698630138,106.3813572665722,252.47293447293447,111.25714285714285,141.2157916157916,PASS,NO,LOW,projection_score,0.28
