season,week,player_id,player_name,team,opponent,position,l3_targets,l3_receptions,l3_receiving_yards,l3_carries,l3_rushing_yards,l3_pass_attempts,l3_completions,l3_passing_yards,l5_targets,l5_receptions,l5_receiving_yards,l5_carries,l5_rushing_yards,l5_pass_attempts,l5_completions,l5_passing_yards,l8_targets,l8_receptions,l8_receiving_yards,l8_carries,l8_rushing_yards,l8_pass_attempts,l8_completions,l8_passing_yards,recent_receiving_sample_games,recent_rushing_sample_games,recent_passing_sample_games,recent_receiving_trend,recent_rushing_trend,recent_passing_trend,recent_form_reliability,recent_form_notes
2025,1,,Ja.Williams,DET,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Mixon,HOU,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,00-0034855,B.Mayfield,TB,WAS,QB,0.0,0.0,0.0,5.666666666666667,31.0,27.333333333333332,21.0,255.0,0.0,0.0,0.0,4.4,32.0,30.4,23.2,271.2,0.0,0.0,0.0,3.875,26.125,30.5,22.375,272.5,8,8,8,MISSING,UP,STABLE,HIGH,Pre-target weekly player stats only.
2025,1,,D.Bell,CLE,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Jennings,SF,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Jacobs,GB,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,M.Evans,TB,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,T.Pollard,TEN,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,N.Collins,HOU,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,M.Nabers,NYG,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Gibbs,DET,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Smith-Njigba,SEA,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,R.Dowdle,DAL,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,B.Aiyuk,SF,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Meyers,LV,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,J.Addison,MIN,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,S.Diggs,HOU,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,C.Williams,CHI,GB,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,W.Robinson,NYG,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,B.Irving,TB,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,A.Gould,IND,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,C.Godwin,TB,,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,C.Hubbard,CAR,,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
2025,1,,B.Mayfield,TB,WAS,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,8,MISSING,MISSING,MISSING,HIGH,Pre-target weekly player stats only.
