profile_name,market_family,challenger_signal_tier,row_count,average_challenger_score,average_actual_primary_value,baseline_average_actual,lift_vs_baseline
balanced_conservative,passing,ELITE_SIGNAL,59,87.66627118644067,261.1864406779661,192.1782390837509,69.00820159421522
balanced_conservative,passing,GOOD_SIGNAL,392,65.19359693877551,214.5127551020408,192.1782390837509,22.334516018289918
balanced_conservative,passing,REVIEW,271,31.21040590405904,93.7859778597786,192.1782390837509,-98.3922612239723
balanced_conservative,passing,STRONG_SIGNAL,289,77.6326989619377,251.3425605536332,192.1782390837509,59.16432146988231
balanced_conservative,passing,WATCH,386,50.08373056994819,183.73056994818654,192.1782390837509,-8.447669135564354
balanced_conservative,receiving,ELITE_SIGNAL,511,87.23230919765166,71.48336594911937,29.650579790171175,41.832786158948196
balanced_conservative,receiving,GOOD_SIGNAL,2084,64.55451055662186,31.198176583493282,29.650579790171175,1.547596793322107
balanced_conservative,receiving,REVIEW,1957,31.882779764946346,11.728666326009197,29.650579790171175,-17.921913464161978
balanced_conservative,receiving,STRONG_SIGNAL,1743,78.60928858290305,52.13195639701664,29.650579790171175,22.481376606845462
balanced_conservative,receiving,WATCH,2760,49.62244202898551,19.247101449275362,29.650579790171175,-10.403478340895813
balanced_conservative,rushing,ELITE_SIGNAL,295,87.13383050847459,77.61016949152543,28.07596539354294,49.53420409798248
balanced_conservative,rushing,GOOD_SIGNAL,1060,64.532,26.910377358490567,28.07596539354294,-1.165588035052373
balanced_conservative,rushing,REVIEW,1085,31.191419354838704,7.740092165898617,28.07596539354294,-20.335873227644324
balanced_conservative,rushing,STRONG_SIGNAL,923,78.70434452871072,53.9284940411701,28.07596539354294,25.852528647627157
balanced_conservative,rushing,WATCH,1376,49.67411337209301,17.04796511627907,28.07596539354294,-11.028000277263871
current_v1,passing,ELITE_SIGNAL,70,88.06928571428573,261.2142857142857,192.1782390837509,69.03604663053483
current_v1,passing,GOOD_SIGNAL,361,64.7509972299169,217.5180055401662,192.1782390837509,25.339766456415305
current_v1,passing,REVIEW,351,28.073646723646725,109.76638176638177,192.1782390837509,-82.41185731736913
current_v1,passing,STRONG_SIGNAL,258,77.28302325581397,252.74806201550388,192.1782390837509,60.56982293175298
current_v1,passing,WATCH,357,49.64397759103641,190.27170868347338,192.1782390837509,-1.9065304002775179
current_v1,receiving,ELITE_SIGNAL,576,87.80223958333333,70.52256944444444,29.650579790171175,40.871989654273264
current_v1,receiving,GOOD_SIGNAL,1885,64.57905570291777,32.97506631299735,29.650579790171175,3.3244865228261737
current_v1,receiving,REVIEW,2586,28.66091647331787,12.673240525908739,29.650579790171175,-16.977339264262437
current_v1,receiving,STRONG_SIGNAL,1548,78.60881136950904,52.83139534883721,29.650579790171175,23.180815558666037
current_v1,receiving,WATCH,2460,49.218231707317074,20.79308943089431,29.650579790171175,-8.857490359276866
current_v1,rushing,ELITE_SIGNAL,327,87.7095107033639,76.2262996941896,28.07596539354294,48.15033430064666
current_v1,rushing,GOOD_SIGNAL,969,64.49865841073272,29.189886480908154,28.07596539354294,1.1139210873652132
current_v1,rushing,REVIEW,1399,27.824510364546107,8.863473909935669,28.07596539354294,-19.212491483607273
