season,week,game_id,player_id,player_name,team,opponent,position,market_family,pregame_projection_proxy,projection_score,usage_foundation_score,recent_form_score,opponent_fit_score,game_script_score,role_availability_score,volatility_score,data_quality_score,overall_signal_score,signal_tier,green_signal_count,red_flag_count,missing_signal_count,actual_receptions,actual_receiving_yards,actual_carries,actual_rushing_yards,actual_pass_attempts,actual_completions,actual_passing_yards,actual_primary_value,actual_primary_metric,backtest_usage_status,data_limitations,feature_source_max_game_order,target_game_order
2023,18,2023_18_CLE_CIN,00-0035631,D.Sample,CIN,CLE,TE,receiving,12.908333333333333,42.03,47.01,49.0,15.34,30.5,60,70.0,95,43.8,WATCH,0,0,0,2,7,0,0,0,0,0,7,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_SEA_ARI,00-0035640,D.Metcalf,SEA,ARI,WR,receiving,63.27916666666666,97.61,87.85,98.01,73.51,57.5,60,70.0,95,87.29,ELITE_SIGNAL,4,0,0,1,10,0,0,0,0,0,10,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_DAL_WAS,00-0035659,T.McLaurin,WAS,DAL,WR,receiving,52.19375,94.42,91.83,97.21,61.95,49.0,60,70.0,95,84.84,STRONG_SIGNAL,3,0,0,6,56,0,0,0,0,0,56,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_PHI_NYG,00-0035676,A.Brown,PHI,NYG,WR,receiving,53.641666666666666,94.82,94.42,96.22,87.65,45.5,60,70.0,95,87.57,ELITE_SIGNAL,4,0,0,1,9,0,0,0,0,0,9,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_BUF_MIA,00-0035689,D.Knox,BUF,MIA,TE,receiving,16.31041666666667,52.59,47.01,58.76,34.06,56.5,60,70.0,95,53.43,WATCH,0,0,0,2,22,0,0,0,0,0,22,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_LA_SF,00-0035719,D.Samuel,SF,LA,WR,receiving,50.71458333333334,93.23,93.23,96.22,84.46,38.5,60,70.0,95,85.76,ELITE_SIGNAL,4,0,0,2,21,1,11,0,0,0,21,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_ATL_NO,00-0036040,J.Johnson,NO,ATL,TE,receiving,33.90416666666667,80.08,89.64,92.03,45.02,43.5,60,70.0,95,76.36,STRONG_SIGNAL,3,0,0,3,40,0,0,0,0,0,40,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_CLE_CIN,00-0036133,J.Proche,CLE,CIN,WR,receiving,0.0,2.59,3.39,4.38,94.02,30.5,60,70.0,95,22.44,REVIEW,1,1,0,0,0,0,0,0,0,0,0,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_DAL_WAS,00-0036139,R.Dowdle,DAL,WAS,RB,receiving,4.497916666666667,15.54,32.87,32.87,20.12,49.0,60,70.0,95,31.61,REVIEW,0,1,0,3,54,9,46,0,0,0,54,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
2023,18,2023_18_PHI_NYG,00-0036165,I.Hodgins,NYG,PHI,WR,receiving,10.16875,35.06,27.89,39.04,95.62,45.5,60,70.0,95,45.57,WATCH,1,0,0,3,36,0,0,0,0,0,36,receiving_yards,HISTORICAL SIGNAL BACKTEST ONLY,"Pregame proxy scores only; no sportsbook prices, no live role/injury gates, no weather source.",202317,202318
