player_name,player_id,team,opponent,position,line,raw_projection,calibrated_projection,projection_sd,model_over_probability,model_under_probability,probability_method,confidence_tier,flags,usage_status,notes
B.Mayfield,00-0034855,TB,WAS,QB,199.5,221.5412520274212,216.945150159937,78.6183960902246,0.5878027883938362,0.41219721160616385,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,224.5,221.5412520274212,216.945150159937,78.6183960902246,0.4617224850686017,0.5382775149313983,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,249.5,221.5412520274212,216.945150159937,78.6183960902246,0.33940522420370234,0.6605947757962977,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,274.5,221.5412520274212,216.945150159937,78.6183960902246,0.23206027990553135,0.7679397200944686,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,299.5,221.5412520274212,216.945150159937,78.6183960902246,0.14684287558044007,0.8531571244195599,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,324.5,221.5412520274212,216.945150159937,78.6183960902246,0.08564631578734394,0.9143536842126561,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,349.5,221.5412520274212,216.945150159937,78.6183960902246,0.04589271337029743,0.9541072866297026,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,374.5,221.5412520274212,216.945150159937,78.6183960902246,0.02253258860059104,0.977467411399409,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
B.Mayfield,00-0034855,TB,WAS,QB,399.5,221.5412520274212,216.945150159937,78.6183960902246,0.01011546307085709,0.9898845369291429,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,149.5,218.02932019663555,213.5060769787177,78.6183960902246,0.7922165159017394,0.20778348409826064,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,174.5,218.02932019663555,213.5060769787177,78.6183960902246,0.6901037324036489,0.30989626759635114,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,199.5,218.02932019663555,213.5060769787177,78.6183960902246,0.5706984595763103,0.42930154042368973,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,224.5,218.02932019663555,213.5060769787177,78.6183960902246,0.4443935734603319,0.5556064265396681,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,249.5,218.02932019663555,213.5060769787177,78.6183960902246,0.32353700370660254,0.6764629962933975,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,274.5,218.02932019663555,213.5060769787177,78.6183960902246,0.21892688941529292,0.7810731105847071,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,299.5,218.02932019663555,213.5060769787177,78.6183960902246,0.1370182235390207,0.8629817764609793,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,324.5,218.02932019663555,213.5060769787177,78.6183960902246,0.07900354620144778,0.9209964537985522,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,349.5,218.02932019663555,213.5060769787177,78.6183960902246,0.0418332101667106,0.9581667898332894,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,374.5,218.02932019663555,213.5060769787177,78.6183960902246,0.020290316687208265,0.9797096833127917,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
J.Goff,00-0033106,DET,WAS,QB,399.5,218.02932019663555,213.5060769787177,78.6183960902246,0.008996037164474613,0.9910039628355254,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
C.Williams,00-0039918,CHI,GB,QB,149.5,181.1554299599836,212.1500357093226,78.6183960902246,0.7872418831008863,0.21275811689911373,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
C.Williams,00-0039918,CHI,GB,QB,174.5,181.1554299599836,212.1500357093226,78.6183960902246,0.6839936929709239,0.31600630702907606,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
C.Williams,00-0039918,CHI,GB,QB,199.5,181.1554299599836,212.1500357093226,78.6183960902246,0.5639156008120138,0.43608439918798625,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
C.Williams,00-0039918,CHI,GB,QB,224.5,181.1554299599836,212.1500357093226,78.6183960902246,0.4375879594771449,0.5624120405228551,"Normal approximation: mean=calibrated_projection, sd=passing_yards_backtest_calibrated_RMSE",Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
