line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
1.5,24,D.Montgomery,DET,WAS,RB,5.825244157887851,0.8539843303065386,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
1.5,25,B.Robinson,WAS,PHI,RB,5.796725935410487,0.8523875985284817,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,1,J.Taylor,IND,JAX,RB,14.714235572200463,0.998537532899189,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,2,D.Henry,BAL,BUF,RB,14.70748572420501,0.9985296732350628,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,3,B.Robinson,ATL,CAR,RB,14.253459230476937,0.997903526170126,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,4,S.Barkley,PHI,KC,RB,11.597620949372056,0.986663767284989,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,5,J.Mixon,HOU,KC,RB,9.958632501037004,0.9653916639900398,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,6,T.Pollard,TEN,HOU,RB,9.934639469149408,0.9649417952312289,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,7,R.Dowdle,DAL,WAS,RB,9.510990683979092,0.9561774248894395,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,8,B.Irving,TB,WAS,RB,8.649815168553095,0.9329542795313546,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
2.5,9,D.Swift,CHI,GB,RB,8.525546005271234,0.9289326269282381,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
