line,rank,player_name,team,opponent,position,calibrated_projection,model_over_probability,confidence_tier,flags,usage_status,notes
9.5,24,C.Brown,CIN,DEN,RB,50.632249537169855,0.945892840150437,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
9.5,25,D.Achane,MIA,NYJ,RB,50.45564908795905,0.9451313236045461,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,1,S.Barkley,PHI,KC,RB,96.84987306664549,0.9993497661145235,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,2,D.Henry,BAL,BUF,RB,89.29835670086044,0.9982553352257506,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,3,J.Taylor,IND,JAX,RB,85.87558910562794,0.997342664907346,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,4,K.Williams,LA,PHI,RB,76.13318386342063,0.9919548565114443,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,5,B.Robinson,ATL,CAR,RB,72.12970822132897,0.9877920180406692,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,6,J.Jacobs,GB,PHI,RB,69.692593594386,0.9844326612643317,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,7,J.Gibbs,DET,WAS,RB,69.53462764660152,0.9841898686807147,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,8,J.Mixon,HOU,KC,RB,67.86122304953706,0.9814121656098014,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,9,C.Hubbard,CAR,ARI,RB,67.60016897539725,0.9809433930798905,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,10,J.Conner,ARI,LA,RB,61.15107007352755,0.9657564849819897,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,11,T.Pollard,TEN,HOU,RB,59.43814206292419,0.9603615056424244,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,12,A.Kamara,NO,WAS,RB,59.08275557423134,0.9591598152438234,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,13,A.Jones,MIN,LA,RB,58.72586283312911,0.9579234549618139,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,14,J.Cook,BUF,KC,RB,58.52578684087519,0.9572171996392383,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,15,J.Dobbins,LAC,HOU,RB,57.97332584470196,0.9552171912768221,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,16,B.Irving,TB,WAS,RB,57.32188876290047,0.9527628789977127,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,17,C.McCaffrey,SF,BUF,RB,55.17417458833264,0.9439000989727571,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,18,N.Harris,PIT,BAL,RB,54.5928160053647,0.9412882191569201,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,19,D.Swift,CHI,GB,RB,53.80470394801723,0.9375961823884936,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,20,R.Dowdle,DAL,WAS,RB,53.396619306822274,0.9356145755932713,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,21,D.Montgomery,DET,WAS,RB,51.86371578743624,0.9277318690869142,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
14.5,22,B.Hall,NYJ,MIA,RB,51.06383727929647,0.9233351368965874,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,"Research only - no odds, edge, or betting recommendation."
